[◁◁◁◁◁◁◁◁](./index.html)

|||Player|SS|
|:-|:-|:-|
|264|Revz|98.94%|57506|7468|58|605|621
|265|Skydazi|97.72%|38995|7463|13|595|856
|266|Meii|99.11%|83341|7456|91|929|1104
|267|Glove|97.16%|48450|7452|8|315|585
|268|Kuroame|99.17%|96267|7449|84|1152|2585
|269|FoxzyLN|96.91%|25759|7441|25|329|401
|270|brunosche|99.08%|27927|7433|22|321|399
|271|AdryanDesu|97.68%|67204|7433|6|372|577
|272|yLuukzG0D|99.05%|35571|7430|56|569|679
|273|Nemesy|96.74%|46615|7406|38|864|1035
|274|JauumGOD|97.30%|103008|7405|34|1479|2449
|275|Crowleey|98.21%|79514|7402|40|879|1295
|276|- Nirayuki|99.14%|41041|7389|45|716|1756
|277|m0onlight|98.60%|41192|7383|16|492|571
|278|Fujiwara|98.27%|57996|7374|10|139|421
|279|fapazegg|98.48%|36469|7374|31|554|1295
|280|pwerus5|97.96%|55656|7373|106|1253|1626
|281|xenolism|98.03%|54445|7373|9|439|641
|282|rooodi|99.02%|84970|7368|38|609|676
|283|T_KaoruB|99.28%|52269|7363|25|887|1222
|284|iShawn|98.65%|24939|7360|32|247|505
|285|XGamerFeX|98.70%|56761|7358|24|557|580
|286|_Xanie|99.41%|69833|7356|89|640|627
|287|qyoh|97.95%|69186|7347|90|1184|2001
|288|Akaeboshi|98.37%|25608|7337|0|150|265
|289|Patchy|98.77%|43391|7321|68|462|365
|290|Pithersnw|97.85%|46434|7320|43|1615|4193
|291|Slow22|97.79%|42666|7316|75|838|726
|292|FlushyCS|98.12%|32669|7308|102|698|807
|293|victorsora|99.20%|6392|7308|29|262|104
|294|-TM|98.69%|54044|7299|30|550|657
|295|SpikePiason|98.76%|79589|7298|31|1684|2655
|296|Gabrilel|97.64%|70808|7289|33|491|711
|297|Little Sister|99.11%|152646|7287|583|3087|2511
|298|pacolism|98.56%|64915|7286|52|746|689
|299|- Kaizen -|99.01%|70276|7285|62|1180|825
|300|Hana Fubuki|98.98%|58510|7283|248|1315|3296
|301|xAsuna|97.04%|80264|7280|2|320|1370
|302|MegaPack|98.64%|30040|7279|22|423|542
|303|Coxinha|98.14%|30496|7270|13|452|1734
|304|Hawk225|95.90%|68780|7262|1|111|303
|305|Vinizalt|98.70%|80978|7260|20|676|877
|306|merqx|98.19%|41405|7256|42|345|554
|307|cafezin baum|97.74%|43251|7256|11|174|313
|308|Ayamarusa|98.91%|91606|7252|66|602|879
|309|Italo|98.74%|63652|7243|8|293|510
|310|Regou Fanboy|97.62%|54052|7241|20|267|915
|311|ChrisLemos|98.49%|66918|7240|12|199|984
|312|VeeReeLe|98.94%|33680|7235|25|659|1011
|313|MiinnuHD|98.35%|68000|7225|30|325|662
|314|Sailent|98.90%|24510|7221|8|380|699
|315|salsicha|98.05%|87008|7220|16|485|678
|316|yMaTy|99.06%|58871|7220|55|494|1238
|317|OrekiHoutarou|99.38%|93197|7220|179|1711|1359
|318|Foerster|98.74%|62366|7218|14|622|793
|319|Monim|94.17%|67380|7217|3|169|436
|320|bosta|99.13%|69653|7211|63|689|915
|321|Furyy07|98.30%|117108|7206|44|1038|1042
|322|Godoka|99.06%|86309|7205|97|1263|1474
|323|Aayn|99.34%|78168|7204|154|1137|2060
|324|Sakura Airi|98.98%|86327|7196|76|908|2181
|325|otakubruno|98.88%|48064|7196|49|288|289
|326|milenna|98.85%|67615|7182|151|1455|1548
